text,intent,domain
question about cancelling order {{Order Number}},cancel_order,social
i have a question about cancelling oorder {{Order Number}},cancel_order,social
i need help cancelling puchase {{Order Number}},cancel_order,social
I need to cancel purchase {{Order Number}},cancel_order,social
"I cannot afford this order, cancel purchase {{Order Number}}",cancel_order,social
can you help me cancel order {{Order Number}}?,cancel_order,social
"I can no longer afford order {{Order Number}}, cancel it",cancel_order,social
I am trying to cancel purchase {{Order Number}},cancel_order,social
I have got to cancel purchase {{Order Number}},cancel_order,social
i need help canceling purchase {{Order Number}},cancel_order,social
i dont know what to do to cancel order {{Order Number}},cancel_order,social
I have a problem with cancelling purchase {{Order Number}},cancel_order,social
problem with canceling purchase {{Order Number}},cancel_order,social
can you help me canceling order {{Order Number}}?,cancel_order,social
help  me canceling purchase {{Order Number}},cancel_order,social
can you help me cancel purchase {{Order Number}}?,cancel_order,social
what do I have to do to cancel purchase {{Order Number}}?,cancel_order,social
"I bought the same item twice, cancel order {{Order Number}}",cancel_order,social
need help with canceling order {{Order Number}},cancel_order,social
i want assistance canceling order {{Order Number}},cancel_order,social
I'm trying to cancel order {{Order Number}},cancel_order,social
i have problems with canceling order {{Order Number}},cancel_order,social
assistance with cancelling pucrhase {{Order Number}},cancel_order,social
need help with canceling purchase {{Order Number}},cancel_order,social
help cnceling order {{Order Number}},cancel_order,social
i want assistance cancelling order {{Order Number}},cancel_order,social
need assistance cancelling order {{Order Number}},cancel_order,social
problem with cancelling order {{Order Number}},cancel_order,social
assistnace cancelling order {{Order Number}},cancel_order,social
have a problem with canceling order {{Order Number}},cancel_order,social
i need help with canceling purchase {{Order Number}},cancel_order,social
assistance with cancelling pucrhase {{Order Number}},cancel_order,social
want assistance to cancel order  {{Order Number}},cancel_order,social
i do not know how i can cancel purchase {{Order Number}},cancel_order,social
need assistance to cancel order {{Order Number}},cancel_order,social
can you help me cancel purchase {{Order Number}}?,cancel_order,social
I can no longer afford purchase {{Order Number}},cancel_order,social
i need assistance canceling purchase {{Order Number}},cancel_order,social
I would like to cancel purchase {{Order Number}},cancel_order,social
i do not want these article i try to cancel order {{Order Number}},cancel_order,social
i need help to cancel purchase {{Order Number}},cancel_order,social
I have got to cancel purchase {{Order Number}},cancel_order,social
problems with cancelling order {{Order Number}},cancel_order,social
I need help canceling purchase {{Order Number}},cancel_order,social
assistance canceling purchase {{Order Number}},cancel_order,social
could ya help me cancel order {{Order Number}},cancel_order,social
could you help me cancelling order {{Order Number}} ?,cancel_order,social
cance order {{Order Number}},cancel_order,social
assistance cancelling purchase {{Order Number}},cancel_order,social
assistance with canceling purchase {{Order Number}},cancel_order,social
canceling order {{Order Number}},cancel_order,social
how to cancel order {{Order Number}},cancel_order,social
help me cancelling purchase {{Order Number}},cancel_order,social
have a question about cancelling order {{Order Number}},cancel_order,social
I can't afford purchase {{Order Number}},cancel_order,social
assistance with canceling purchase {{Order Number}},cancel_order,social
"I ordered some item, cancel purchase {{Order Number}}",cancel_order,social
i need help cancelling order {{Order Number}},cancel_order,social
"I can't afford order {{Order Number}}, help me cancelling it",cancel_order,social
I do not know how I can cancel purchase {{Order Number}},cancel_order,social
I try to cancel purchase {{Order Number}},cancel_order,social
problem with cancelling order {{Order Number}},cancel_order,social
"I cannot pay for the last purchase I have made, cancel it",cancel_order,social
help me cancelling purchase {{Order Number}},cancel_order,social
could you help me cancel purchase {{Order Number}}?,cancel_order,social
I want to cancle purchase {{Order Number}},cancel_order,social
help me to cancel my  last goddamn purchase,cancel_order,social
I have a problem witrh cancelling purchase {{Order Number}},cancel_order,social
can  uhelp me canceling order {{Order Number}},cancel_order,social
problems with canceling purchase {{Order Number}},cancel_order,social
I need assistancde cancelling order {{Order Number}},cancel_order,social
"I bought some item, cancel order {{Order Number}}",cancel_order,social
need help with cancelling order {{Order Number}},cancel_order,social
"I can't pay for this item, can I cancel order {{Order Number}}?",cancel_order,social
I need help cacneling order {{Order Number}},cancel_order,social
where could I cancel purchase {{Order Number}}?,cancel_order,social
i bought some damn item help to cancep order {{Order Number}},cancel_order,social
want assistance to cancel order {{Order Number}},cancel_order,social
"I have got to cancel purchase {{Order Number}}, help me",cancel_order,social
whag do i need to do to cancel order {{Order Number}},cancel_order,social
I want assistance canceling order {{Order Number}},cancel_order,social
I can no longer afford purchase {{Order Number}},cancel_order,social
I want assistance to cancel purchase {{Order Number}},cancel_order,social
cancelling order,cancel_order,social
i want help cancelling purchase {{Order Number}},cancel_order,social
what do I have to do to cancel order {{Order Number}}?,cancel_order,social
can you help me to cancel purchase {{Order Number}}?,cancel_order,social
I need help cancelling order {{Order Number}},cancel_order,social
I do not know how I can cancel purchase {{Order Number}},cancel_order,social
i want help to cancel purchase {{Order Number}},cancel_order,social
how do i cancel order {{Order Number}},cancel_order,social
"I bought some articles, help me to cancel order {{Order Number}}",cancel_order,social
need assistance cancelling order {{Order Number}},cancel_order,social
where to cancel purchase {{Order Number}},cancel_order,social
I want help canceling order {{Order Number}},cancel_order,social
I want help cancellkng purchase {{Order Number}},cancel_order,social
I need help with cancelling order {{Order Number}},cancel_order,social
I want assistance to cancel order {{Order Number}},cancel_order,social
I want assistance to cancel order {{Order Number}},cancel_order,social
need assistance cancelling purchase {{Order Number}},cancel_order,social
where can I cancel order {{Order Number}}?,cancel_order,social
have problems with canceling order {{Order Number}},cancel_order,social
where can I cancel order {{Order Number}}?,cancel_order,social
I can no longer pay for order {{Order Number}},cancel_order,social
I can't afford purchase {{Order Number}},cancel_order,social
"I would like to cancel purchase {{Order Number}}, I need help",cancel_order,social
i do not know how to cancel order {{Order Number}},cancel_order,social
help with cancelling purchase {{Order Number}},cancel_order,social
i want help cancelling purchase {{Order Number}},cancel_order,social
"I can no longer afford order {{Order Number}}, help me cancel it",cancel_order,social
need assistance canceling order {{Order Number}},cancel_order,social
I have problems with cancelling purchase {{Order Number}},cancel_order,social
I want assistance canceling purchase {{Order Number}},cancel_order,social
would it be possible to cancel purchase {{Order Number}},cancel_order,social
could you help me canceling purchase {{Order Number}}?,cancel_order,social
I want help to cancel purchase {{Order Number}},cancel_order,social
help with cancelling purchase {{Order Number}},cancel_order,social
assistance with canceling purchase {{Order Number}},cancel_order,social
cance order {{Order Number}},cancel_order,social
can uhelp me cancelling purchase {{Order Number}},cancel_order,social
how could icancel purchase {{Order Number}},cancel_order,social
i need assistance canceling order {{Order Number}},cancel_order,social
i do not knwo how to cancel order {{Order Number}},cancel_order,social
"I have ordered some article, cancel purchase {{Order Number}}",cancel_order,social
need to cancel purchase {{Order Number}},cancel_order,social
have problems with canceling purchase {{Order Number}},cancel_order,social
i no longer want purchase  {{Order Number}},cancel_order,social
want help to cancel purchase {{Order Number}},cancel_order,social
question about canceling order {{Order Number}},cancel_order,social
is it possible to cancel purchase {{Order Number}} ?,cancel_order,social
have a question about cancelling order {{Order Number}},cancel_order,social
I need assistance to cancel purchase {{Order Number}},cancel_order,social
I need assistance cancelling purchase {{Order Number}},cancel_order,social
help with canceling purchase {{Order Number}},cancel_order,social
I need help with canceling purchase {{Order Number}},cancel_order,social
iwant assistance canceling order {{Order Number}},cancel_order,social
have problems with canceling order  {{Order Number}},cancel_order,social
i wan help to cancel purchase {{Order Number}},cancel_order,social
i need help cancelling puchase {{Order Number}},cancel_order,social
I can no longer afford order {{Order Number}},cancel_order,social
"I have got to cancel purchase {{Order Number}}, how do I do it?",cancel_order,social
i need help with canceling order {{Order Number}},cancel_order,social
cancel purchase {{Order Number}},cancel_order,social
